Dokument;Tool;Zeit;CER;WER
bauliche_veraenderung_bild.jpg;Easy OCR;2,79;0,114;0,186
bauliche_veraenderung_bild.jpg;Paddle OCR;1,56;0,097;0,214
bauliche_veraenderung_bild.jpg;Tesseract OCR;1,83;0,355;0,329
bauliche_veraenderung_bild.jpg;Surya OCR;5,89;0,153;0,143
bauliche_veraenderung_scan.jpg;Easy OCR;2,53;0,112;0,171
bauliche_veraenderung_scan.jpg;Paddle OCR;1,48;0,12;0,2
bauliche_veraenderung_scan.jpg;Tesseract OCR;1,36;0,102;0,086
bauliche_veraenderung_scan.jpg;Surya OCR;5,66;0,21;0,229
bauliche_veraenderung_unscharf.jpg;Easy OCR;2,75;0,183;0,586
bauliche_veraenderung_unscharf.jpg;Paddle OCR;1,57;0,12;0,357
bauliche_veraenderung_unscharf.jpg;Tesseract OCR;2,64;0,207;0,386
bauliche_veraenderung_unscharf.jpg;Surya OCR;7,09;0,392;0,543
mangel_bild.jpg;Easy OCR;3,6;0,036;0,085
mangel_bild.jpg;Paddle OCR;1,91;0,022;0,147
mangel_bild.jpg;Tesseract OCR;2,69;0,012;0,023
mangel_bild.jpg;Surya OCR;5,22;0,013;0,017
mangel_scan.jpg;Easy OCR;3,49;0,059;0,13
mangel_scan.jpg;Paddle OCR;1,81;0,029;0,107
mangel_scan.jpg;Tesseract OCR;1,88;0,01;0,017
mangel_scan.jpg;Surya OCR;4,81;0,015;0,028
mangel_unscharf.jpg;Easy OCR;3,66;0,167;0,52
mangel_unscharf.jpg;Paddle OCR;1,78;0,085;0,486
mangel_unscharf.jpg;Tesseract OCR;3,82;0,086;0,136
mangel_unscharf.jpg;Surya OCR;5,37;0,018;0,045
rechnung_bild.jpg;Easy OCR;5,73;0,282;0,392
rechnung_bild.jpg;Paddle OCR;3,22;0,296;0,541
rechnung_bild.jpg;Tesseract OCR;3,83;0,27;0,357
rechnung_bild.jpg;Surya OCR;26,71;0,277;0,371
rechnung_scan.jpg;Easy OCR;5,58;0,27;0,357
rechnung_scan.jpg;Paddle OCR;2,97;0,355;0,502
rechnung_scan.jpg;Tesseract OCR;2,94;0,697;0,834
rechnung_scan.jpg;Surya OCR;24,72;0,447;0,558
rechnung_unscharf.jpg;Easy OCR;5,89;0,516;0,763
rechnung_unscharf.jpg;Paddle OCR;2,63;0,475;0,859
rechnung_unscharf.jpg;Tesseract OCR;3,41;0,594;0,799
rechnung_unscharf.jpg;Surya OCR;30,63;0,773;1,636
untermietantrag_bild.jpg;Easy OCR;3,11;0,043;0,15
untermietantrag_bild.jpg;Paddle OCR;2,29;0,019;0,15
untermietantrag_bild.jpg;Tesseract OCR;2,07;0,019;0,024
untermietantrag_bild.jpg;Surya OCR;5,79;0,012;0,039
untermietantrag_scan.jpg;Easy OCR;2,76;0,039;0,126
untermietantrag_scan.jpg;Paddle OCR;2,27;0,013;0,063
untermietantrag_scan.jpg;Tesseract OCR;1,47;0,019;0,024
untermietantrag_scan.jpg;Surya OCR;5,6;0,119;0,197
untermietantrag_unscharf.jpg;Easy OCR;3,18;0,231;0,622
untermietantrag_unscharf.jpg;Paddle OCR;2,12;0,045;0,252
untermietantrag_unscharf.jpg;Tesseract OCR;2,75;0,162;0,236
untermietantrag_unscharf.jpg;Surya OCR;6,17;0,209;0,346
wohnungsuebergabe_protokoll_bild.jpg;Easy OCR;3,88;0,147;0,363
wohnungsuebergabe_protokoll_bild.jpg;Paddle OCR;2,35;0,217;0,593
wohnungsuebergabe_protokoll_bild.jpg;Tesseract OCR;3,91;0,372;0,6
wohnungsuebergabe_protokoll_bild.jpg;Surya OCR;12,61;0,223;0,496
wohnungsuebergabe_protokoll_scan.jpg;Easy OCR;3,65;0,154;0,43
wohnungsuebergabe_protokoll_scan.jpg;Paddle OCR;2,14;0,318;0,585
wohnungsuebergabe_protokoll_scan.jpg;Tesseract OCR;2,36;0,181;0,452
wohnungsuebergabe_protokoll_scan.jpg;Surya OCR;14,28;0,436;1,259
wohnungsuebergabe_protokoll_unscharf.jpg;Easy OCR;3,75;0,29;0,763
wohnungsuebergabe_protokoll_unscharf.jpg;Paddle OCR;2,08;0,277;0,8
wohnungsuebergabe_protokoll_unscharf.jpg;Tesseract OCR;3,9;0,436;0,778
wohnungsuebergabe_protokoll_unscharf.jpg;Surya OCR;11,91;0,236;0,681
